Lattice Parameter,Volume,Energy (eV)
7.00,343.0,-944.3761419198929
7.02,345.9484079999999,-944.4369728863138
7.04,348.913664,-944.4925142271429
7.06,351.89581599999997,-944.5466226152294
7.08,354.89491200000003,-944.5966827621545
7.10,357.91099999999994,-944.6439808151154
7.12,360.94412800000003,-944.6883227567733
7.14,363.99434399999996,-944.7292665378064
7.16,367.06169600000004,-944.7676286365097
7.18,370.14623199999994,-944.7990633910338
7.20,373.24800000000005,-944.8315161243291
7.22,376.36704799999995,-944.8606765493762
7.24,379.50342400000005,-944.8872324345112
7.26,382.657176,-944.9111435068503
7.28,385.82835200000005,-944.9288996308247
7.30,389.017,-944.9481142862651
7.32,392.22316800000004,-944.9631860048448
7.34,395.44690399999996,-944.9769099423888
7.36,398.688256,-944.9901176795237
7.38,401.947272,-945.0002137921593
7.40,405.22400000000005,-945.0082748996513
7.42,408.518488,-945.014454066169
7.44,411.83078400000005,-945.0189749694864
7.46,415.160936,-945.0218117587655
7.48,418.5089920000001,-945.0230187207652
7.50,421.875,-945.0220778863352
7.52,425.25900799999994,-945.0201832920565
7.54,428.661064,-945.0147325749296
7.56,432.0812159999999,-945.009718328786
7.58,435.519512,-944.9989850610333
7.60,438.97599999999994,-944.990231695323
7.62,442.450728,-944.9813083943703
7.64,445.9437439999999,-944.9705811131271
7.66,449.455096,-944.958053797248
7.68,452.9848319999999,-944.9449909608604
7.70,456.533,-944.9275672242342
7.72,460.09964799999995,-944.9121333218146
7.74,463.68482400000005,-944.8951584373627
7.76,467.288576,-944.8773216315639
7.78,470.91095200000007,-944.8588537932146
7.80,474.55199999999996,-944.8362831548312
7.82,478.21176800000006,-944.8158973203923
7.84,481.89030399999996,-944.794490105756
7.86,485.58765600000004,-944.7719005554443
7.88,489.30387199999996,-944.7488806567158
7.90,493.03900000000004,-944.7245639983412
7.92,496.793088,-944.6996505937901
7.94,500.5661840000001,-944.6743109225334
7.96,504.358336,-944.6480723224151
7.98,508.1695920000001,-944.6212373842915
8.00,512.0,-944.59392298116
